,1075,,,1075,,,,,,667121,,1075,,,,,Rodrigo Gomes,,,,,,https://transfermarkt.pt/rodrigo-gomes/rueckennummern/spieler/667121,,
,1075,,41584,1075,2464,,,,,340376,,1075,,131,,,Abel Ruiz,,,1075,,,https://transfermarkt.pt/abel-ruiz/rueckennummern/spieler/340376,,
,3329,826,48712,1075,10867,,,,,344869,,826,,826,,,Simon Banza,,,826,,,https://transfermarkt.pt/simon-banza/rueckennummern/spieler/344869,,
,2420,366,294,2420,1085,,,10330,,182722,,2420,,610,294,294,Bruno Varela,,,8817,,,https://transfermarkt.pt/bruno-varela/rueckennummern/spieler/182722,294,
,2420,,41582,2420,,,,,,461963,,2420,,41582,,,Celton Biai,,,2420,,,https://transfermarkt.pt/celton-biai/rueckennummern/spieler/461963,,
,68188,,,2420,,,,,,870187,,,,,,,Rafa,,,,,,https://transfermarkt.pt/rafa/rueckennummern/spieler/870187,,
,2420,,,2420,,,,,,840674,,,,,,,Ibrahima Bamba,,,,,,https://transfermarkt.pt/ibrahima-bamba/rueckennummern/spieler/840674,,
,2420,,,2420,,,,,,637782,,2420,,,,,André Amaro,,,,,,https://transfermarkt.pt/andre-amaro/rueckennummern/spieler/637782,,
,2423,,2687,2420,1084,,,,,308371,,2423,,5648,,,Mikel Villanueva,,,1084,,,https://transfermarkt.pt/mikel-villanueva/rueckennummern/spieler/308371,,
,2420,41588,7179,2420,41588,,,,,344395,,2420,,7179,,,Jorge Fernandes,,,10484,,,https://transfermarkt.pt/jorge-fernandes/rueckennummern/spieler/344395,41588,
,15136,,,15136,,,,,,820070,,15136,,,,,Mamadou Tounkara,,,11374,,,https://transfermarkt.pt/mamadou-tounkara/rueckennummern/spieler/820070,,
,15136,,11008,2420,11008,,,,,448264,,15136,,,,,Afonso Freitas,,,68188,,,https://transfermarkt.pt/afonso-freitas/rueckennummern/spieler/448264,,
,2420,,,15136,,,,,,549013,,2420,,,,,Hélder Sá,,,,,,https://transfermarkt.pt/helder-sa/rueckennummern/spieler/549013,,
,6631,24110,24110,15136,6631,,,,,353785,,6631,,24110,,,Ryoya Ogawa,,,6631,,,https://transfermarkt.pt/ryoya-ogawa/rueckennummern/spieler/353785,42631,
,2420,,,2420,,,,,,729140,,15136,,,,,Maga,,,,,,https://transfermarkt.pt/maga/rueckennummern/spieler/729140,,
,4297,,,2420,,,,,,908936,,,,,,,Zé Carlos,,,,,,https://transfermarkt.pt/ze-carlos/rueckennummern/spieler/908936,,
,2420,2420,430,2420,2420,,,10330,,230457,,6321,,336,10330,,Bruno Gaspar,,,683,,,https://transfermarkt.pt/bruno-gaspar/rueckennummern/spieler/230457,15136,
,2420,,,2420,,,,,,645588,,15136,,,,,Tomás Händel,,,68188,,,https://transfermarkt.pt/tomas-handel/rueckennummern/spieler/645588,,
,3349,,,2420,,,,,,699592,,3349,,,,,Manu,,,68296,,,https://transfermarkt.pt/manu/rueckennummern/spieler/699592,,
,3348,,,15136,,,,,,842384,,3348,,,,,Matheus Índio,,,,,,https://transfermarkt.pt/matheus-indio/rueckennummern/spieler/842384,,
